time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/collision_rate,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,eval/success_rate,eval/mean_reward,eval/mean_ep_length
,75000,,,,,,,0.0003,0.8860567763447762,0.2,-1.481672640144825,0.48374754190444946,0.07475751638412476,-0.039449051016708835,0.045672253,0.3578857421875,180,0.05,-0.3154942989349365,191.0
55,77824,19,1400,98.75,0.31,0.44,5.310085296630859,,,,,,,,,,,,,
57,81920,20,1419,87.36,0.28,0.53,7.021664619445801,0.0003,0.9723032986745238,0.2,-1.4337159417569638,0.5333477258682251,0.10928431153297424,-0.04007476757396944,0.04687987,0.3590087890625,190,,,
59,86016,21,1436,91.95,0.32,0.49,6.53889274597168,0.0003,1.2323687037453055,0.2,-1.3879038490355016,0.5945881605148315,0.28083154559135437,-0.036068906058790165,0.04084823,0.339892578125,200,,,
61,90112,22,1454,94.49,0.29,0.55,7.430788040161133,0.0003,1.2438976192846893,0.2,-1.3975788235664368,0.5296688079833984,0.320642352104187,-0.028351811235188505,0.03994577,0.3417724609375,210,,,
64,94208,23,1470,101.94,0.24,0.58,7.745126724243164,0.0003,1.5668186582624912,0.2,-1.3900693111121654,0.5570517778396606,0.2357272207736969,-0.03345551710226573,0.038213395,0.307080078125,220,,,
66,98304,24,1485,106.48,0.24,0.52,6.777439117431641,0.0003,0.866797455213964,0.2,-1.3948869921267033,0.702201247215271,0.18316787481307983,-0.03683858110161964,0.05264059,0.360009765625,230,,,
,100000,,,,,,,0.0003,1.0404283383861184,0.2,-1.411533746868372,0.6317336559295654,0.12170594930648804,-0.03262690490810201,0.050330546,0.353515625,240,0.25,2.601438283920288,121.15
71,102400,25,1427,105.42,0.23,0.54,7.126117706298828,,,,,,,,,,,,,
73,106496,26,1441,102.39,0.23,0.56,7.4186320304870605,0.0003,1.2741264604032039,0.2,-1.368008618056774,0.6529973745346069,0.2694275975227356,-0.03400520942814182,0.04506879,0.3383544921875,250,,,
